Token,Correlation
exact,0.5694572527246641
touch,0.5694572527246641
forcing,0.5694572527246641
t_rhs,0.5694572527246641
t_rhsx,0.5694572527246641
t_rhsy,0.5694572527246641
t_rhsz,0.5694572527246641
t_last,0.5463278367596305
t_names,0.5463278367596305
timeron,0.5463278367596305
tmax,0.5463278367596305
imaxp,0.5461894558485971
zzcon5,0.5461894558485971
im1,0.5461894558485971
compilerversion,0.5461894558485971
initializes,0.5461894558485971
imax,0.5461894558485971
compute_rhs,0.5461894558485971
hand,0.5461894558485971
gridsize,0.5461894558485971
interpolated,0.5461894558485971
grids,0.5461894558485971
comz1,0.5461894558485971
comz4,0.5461894558485971
comz5,0.5461894558485971
comz6,0.5461894558485971
con16,0.5461894558485971
con43,0.5461894558485971
grid_points,0.5461894558485971
initializing,0.5461894558485971
ip1,0.5461894558485971
convenient,0.5461894558485971
ix,0.5461894558485971
c4dssp,0.5461894558485971
c5,0.5461894558485971
c5dssp,0.5461894558485971
rho_inv,0.5461894558485971
rho_i,0.5461894558485971
residuals,0.5461894558485971
reinitialize,0.5461894558485971
redist2,0.5461894558485971
redist1,0.5461894558485971
qs,0.5461894558485971
ce,0.5461894558485971
pzeta,0.5461894558485971
pxi,0.5461894558485971
problem_size,0.5461894558485971
pface,0.5461894558485971
peta,0.5461894558485971
overkill,0.5461894558485971
no_time_steps,0.5461894558485971
niter_default,0.5461894558485971
linear,0.5461894558485971
kp1,0.5461894558485971
known,0.5461894558485971
km1,0.5461894558485971
jp1,0.5461894558485971
jmaxp,0.5461894558485971
jmax,0.5461894558485971
jm1,0.5461894558485971
fluxes,0.5461894558485971
conz1,0.5461894558485971
c3c4tz3,0.5461894558485971
flux,0.5461894558485971
dxmax,0.5461894558485971
dx5tx1,0.5461894558485971
dx5,0.5461894558485971
dx4tx1,0.5461894558485971
differences,0.5461894558485971
dx4,0.5461894558485971
dx3tx1,0.5461894558485971
dx3,0.5461894558485971
dissipation,0.5461894558485971
dx2tx1,0.5461894558485971
dx2,0.5461894558485971
dnxm1,0.5461894558485971
dnym1,0.5461894558485971
dnzm1,0.5461894558485971
do_not_allocate_arrays_with_dynamic_memory_and_as_single_dimension,0.5461894558485971
dx1tx1,0.5461894558485971
dx1,0.5461894558485971
dttz2,0.5461894558485971
dssp,0.5461894558485971
dttz1,0.5461894558485971
dt,0.5461894558485971
dt_default,0.5461894558485971
dtdssp,0.5461894558485971
dtemp,0.5461894558485971
dtpp,0.5461894558485971
dttx1,0.5461894558485971
dttx2,0.5461894558485971
dy1,0.5461894558485971
dy1ty1,0.5461894558485971
dy2,0.5461894558485971
dz4,0.5461894558485971
failure,0.5461894558485971
factors,0.5461894558485971
face,0.5461894558485971
exists,0.5461894558485971
exact_solution,0.5461894558485971
exact_rhs,0.5461894558485971
error_norm,0.5461894558485971
elimination,0.5461894558485971
dzmax,0.5461894558485971
dz5tz1,0.5461894558485971
dz5,0.5461894558485971
dz4tz1,0.5461894558485971
dz3tz1,0.5461894558485971
dy2ty1,0.5461894558485971
dz3,0.5461894558485971
dz2tz1,0.5461894558485971
dz2,0.5461894558485971
dz1tz1,0.5461894558485971
dz1,0.5461894558485971
dymax,0.5461894558485971
dy5ty1,0.5461894558485971
dy5,0.5461894558485971
dy4ty1,0.5461894558485971
dy4,0.5461894558485971
dy3ty1,0.5461894558485971
dy3,0.5461894558485971
dtty2,0.5461894558485971
c4,0.5461894558485971
c3c4ty3,0.5461894558485971
west,0.5461894558485971
xsolve,0.5461894558485971
xi,0.5461894558485971
xcrref,0.5461894558485971
xcrdif,0.5461894558485971
xcr,0.5461894558485971
xceref,0.5461894558485971
xcedif,0.5461894558485971
xce,0.5461894558485971
x_solve,0.5461894558485971
ws,0.5461894558485971
wp1,0.5461894558485971
wm1,0.5461894558485971
vp1,0.5461894558485971
xxcon2,0.5461894558485971
vm1,0.5461894558485971
vijk,0.5461894558485971
408x408x408,0.5461894558485971
variable,0.5461894558485971
4dx,0.5461894558485971
um1,0.5461894558485971
uijk,0.5461894558485971
ue,0.5461894558485971
64x64x64,0.5461894558485971
c3c4tx3,0.5461894558485971
u_exact,0.5461894558485971
tz3,0.5461894558485971
xxcon1,0.5461894558485971
xxcon3,0.5461894558485971
tz1,0.5461894558485971
z_solve,0.5461894558485971
02,0.5461894558485971
03,0.5461894558485971
zzcon4,0.5461894558485971
05,0.5461894558485971
zzcon3,0.5461894558485971
zzcon2,0.5461894558485971
zzcon1,0.5461894558485971
zsolve,0.5461894558485971
zsol,0.5461894558485971
102,0.5461894558485971
1020,0.5461894558485971
1020x1020x1020,0.5461894558485971
102x102x102,0.5461894558485971
162x162x162,0.5461894558485971
yycon5,0.5461894558485971
yycon4,0.5461894558485971
yycon3,0.5461894558485971
yycon2,0.5461894558485971
yycon1,0.5461894558485971
12x12x12,0.5461894558485971
ysolve,0.5461894558485971
13e,0.5461894558485971
y_solve,0.5461894558485971
xxcon5,0.5461894558485971
xxcon4,0.5461894558485971
162,0.5461894558485971
tz2,0.5461894558485971
dtty1,0.5461894558485971
ty3,0.5461894558485971
rms,0.5461894558485971
substitution,0.5461894558485971
sub,0.5461894558485971
steps,0.5461894558485971
c2dttx1,0.5461894558485971
starters,0.5461894558485971
square,0.5461894558485971
solve,0.5461894558485971
c2,0.5461894558485971
simple,0.5461894558485971
c1c5,0.5461894558485971
set_constants,0.5461894558485971
c1c2,0.5461894558485971
c1345,0.5461894558485971
c1,0.5461894558485971
bt,0.5461894558485971
rhs_norm,0.5461894558485971
rhsx,0.5461894558485971
t_add,0.5461894558485971
t_rdis1,0.5461894558485971
c2dtty1,0.5461894558485971
c3,0.5461894558485971
ty2,0.5461894558485971
ty1,0.5461894558485971
c3c4,0.5461894558485971
tx3,0.5461894558485971
tx2,0.5461894558485971
tx1,0.5461894558485971
tri,0.5461894558485971
transfinite,0.5461894558485971
rhsz,0.5461894558485971
t_rdis2,0.5461894558485971
thing,0.5461894558485971
c2iv,0.5461894558485971
c2dttz1,0.5461894558485971
t_zsolve,0.5461894558485971
t_ysolve,0.5461894558485971
t_xsolve,0.5461894558485971
08,0.5072564298974498
vs,0.5072564298974498
zeta,0.5014432688855607
75,0.5014432688855607
matrix,0.4908024962075024
scale,0.4887613777697606
sign,0.46830825111779234
computed,0.46830825111779234
serial,0.46830825111779234
difference,0.4659829867130367
cell,0.4659829867130367
including,0.46423903840946995
provided,0.46423903840946995
01,0.46423903840946995
6f,0.46423903840946995
iz,0.46423903840946995
secs,0.46067028145565225
sizes,0.448769294481125
conditions,0.44447948623909145
term,0.4333464458230069
section,0.4322123869771227
reference,0.4228228736623736
test,0.42232103846246577
density,0.4207471599968735
rhs,0.41919037474774845
energy,0.4055261121893892
kinetic,0.4055261121893892
00,0.3921558418620441
cases,0.3921558418620441
10,0.3889887409147217
perform,0.378785571534699
lu,0.3764603071299433
defined,0.3704111036084956
11,0.36623527058493055
setting,0.35902082409427577
kmax,0.35902082409427577
lhs,0.35902082409427577
used,0.35847575003186993
lf,0.34658128355092255
set,0.342048552477281
cs2,0.32884475866657376
cs3,0.32884475866657376
cs6,0.32884475866657376
cs5,0.32884475866657376
mflops,0.32884475866657376
cs4,0.32884475866657376
cs1,0.32884475866657376
field,0.3252643313838681
block,0.3252643313838681
k1,0.3192447617539178
k2,0.3192447617539178
sp,0.3192447617539178
algorithm,0.3192447617539178
complete,0.3192447617539178
boundary,0.31799933355461774
sqrt,0.316708133488162
clamp_range,0.3164771435332509
m_seed,0.3164771435332509
macros,0.3164771435332509
dst,0.3164771435332509
cycles,0.3164771435332509
bench_print,0.3164771435332509
width,0.3164771435332509
cols,0.3164771435332509
pin_stats_reset,0.3164771435332509
num_of_steps,0.3164771435332509
src,0.3164771435332509
pin_stats_pause,0.3164771435332509
pin_stats_dump,0.3164771435332509
startcycle,0.3164771435332509
stopcycle,0.3164771435332509
pathfiner,0.3164771435332509
in_range,0.3164771435332509
wall,0.3164771435332509
exit_success,0.31425948430272904
available,0.304714766095417
initialize,0.3024314810633668
based,0.30152092303392847
100,0.27396653937145693
mode,0.2729860411183159
rows,0.27298604111831587
fatal,0.27298604111831587
niter,0.266047873265231
cout,0.2619410351957265
cmath,0.2619410351957265
eta,0.26135971909453753
value,0.2612867744433028
make,0.2609172077533646
step,0.2578986591291789
elements,0.25728470883873933
problem,0.25728470883873933
epsilon,0.25728470883873933
result,0.2551941447927261
common,0.2502288105305416
npbparams,0.25001971100948894
t_total,0.25001971100948894
tolerance,0.24846292576036386
vector,0.24831134838088229
interpolation,0.24566418436243675
residual,0.24566418436243675
computes,0.24566418436243675
direction,0.24566418436243675
04,0.24566418436243675
addition,0.24566418436243675
8s,0.24566418436243675
norms,0.24566418436243675
8e,0.24566418436243675
