Token,Correlation
printf,0.6749039745993927
completed,0.499647883518521
line,0.4757169914209169
stdlib,0.46065345206579905
stdio,0.46065345206579905
continue,0.4566624625406407
fopen,0.4407335434927732
threads,0.44012015490450024
getopt,0.43557723888672006
optind,0.43557723888672006
optarg,0.43557723888672006
opt,0.43557723888672006
malloc,0.4164809958610893
space,0.410592456684693
40,0.4045486519314061
001,0.40222915847806184
use,0.40105045628892094
extern,0.394110931391357
arrays,0.38576834706348007
break,0.3850978493345802
infile,0.38381318736318343
memcpy,0.38381318736318343
clusters,0.38381318736318343
cluster,0.38381318736318343
ignore,0.38381318736318343
limits,0.38381318736318343
centers,0.38381318736318343
32,0.38367321085130773
case,0.37333577560559283
containing,0.3706996276438874
fgets,0.3706996276438874
kk,0.358738656227857
correct,0.358738656227857
1024,0.35779312413068565
number,0.3517884941539554
mm,0.3486136323271784
seconds,0.34772106232447175
numbers,0.3474403138259783
usage,0.3454240563027784
following,0.34250220205444715
main,0.3342100129587414
filename,0.33364718210541455
id,0.33322422824107006
tmp,0.3291651146977176
float,0.32752751504002825
val,0.3233663810643569
cs7,0.3189355761203508
nz,0.3189355761203508
resulting,0.3189355761203508
successful,0.3189355761203508
t_bench,0.3189355761203508
performed,0.3189355761203508
t_init,0.3189355761203508
17,0.3189355761203508
pow,0.3189355761203508
atoi,0.31341838134683686
threshold,0.3092729531692906
fcntl,0.3092729531692906
math,0.30901961066111217
binary,0.3082896736176192
does,0.29684958080364177
weight,0.29684958080364177
costs,0.29684958080364177
note,0.29684958080364177
points,0.29684958080364177
real,0.29684958080364177
large,0.29684958080364177
fine,0.29684958080364177
openmp,0.2903135993542012
22,0.28994770726717023
omp_get_wtime,0.2885673325598759
sys,0.28739401405867576
ai,0.28373602108434576
power,0.28373602108434576
current,0.28373602108434576
positive,0.28373602108434576
iteration,0.2829834366282384
exit,0.2805611592575689
unistd,0.2801470468453806
randomly,0.2775563853608078
314159265,0.27639663863413566
21,0.27639663863413566
initialization,0.27639663863413566
randlc,0.27639663863413566
create,0.2678617119504612
60,0.26303040047493115
default,0.26254726932737815
switch,0.26254726932737815
assume,0.26131993118739794
assumes,0.26131993118739794
temp,0.2612954197702543
reading,0.2590972179856497
precision,0.2584205643707176
256,0.2584205643707176
random,0.25530030211408294
1000,0.2547481522311652
sw,0.2547481522311652
argv,0.25450908301770964
argc,0.25450908301770964
close,0.2522587460794276
flag,0.2520419573740209
time,0.25095212178610593
suite,0.24508347701398808
decrease,0.24094440515822219
equal,0.24094440515822219
master,0.24094440515822219
ii,0.2381836557436336
good,0.2381836557436336
mark,0.2381836557436336
cache,0.23522562983727496
print,0.22942689620391438
fclose,0.22893005864129543
open,0.22827556685558165
equations,0.22783084543892618
solver,0.22783084543892618
80,0.22783084543892618
integer,0.2242080359338897
nj,0.22230934660974894
l2,0.22230934660974894
d2,0.2126467236586887
negative,0.2126467236586887
fabs,0.2126467236586887
d1,0.2126467236586887
check,0.2114508219404963
change,0.21087094857716027
omp_set_num_threads,0.20645241257472266
try,0.20298410070762857
opened,0.20298410070762857
index,0.20298410070762857
chunk,0.20298410070762857
feof,0.20298410070762857
calloc,0.20298410070762857
loops,0.2029841007076285
zero,0.2029841007076285
06,0.2029841007076285
apply,0.20160372600033422
16,0.19985335467377502
free,0.1988998951209951
x1,0.19884297658574557
x2,0.19884297658574557
probably,0.19884297658574557
18,0.19884297658574557
a1,0.19884297658574557
sort,0.19884297658574557
observe,0.19884297658574557
19,0.19884297658574557
a2,0.19884297658574557
assert,0.1957716428620158
char,0.19504694614068632
return,0.19504694614068632
currently,0.19332147775656833
parameter,0.1899955074970619
string,0.1848647906160492
new,0.1834999729601618
types,0.18020791803727243
input,0.17935162203362853
init,0.17680551140591486
txt,0.17661894379830723
run,0.17558366276783652
memory,0.17537098393000475
nas,0.17506602225260112
delete,0.17351310070689507
input_file,0.17261585714715366
implementation,0.17192566979350649
125,0.17192566979350649
timer_stop,0.1715455773275779
omp,0.17123548243985948
compiler,0.169855107732565
long,0.16373527277916178
abs,0.1636434215497407
sum,0.1636434215497407
err,0.1636434215497407
allocate,0.15317492396119042
min,0.1528836122435537
information,0.14607815339942054
execution,0.142937800940326
creates,0.1415574262330317
reduction,0.1415574262330317
given,0.1415574262330317
shift,0.1401770515257374
ser,0.1401770515257374
1220703125,0.1401770515257374
pthread,0.1318948032819715
blocked_range,0.1318948032819715
tbb,0.1318948032819715
hooks,0.1318948032819715
